City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
174,Bengkulu,ID,-3.8004,102.2655,74.34,90,100,3.51,overcast clouds
175,Mitsamiouli,KM,-11.3847,43.2844,75.13,75,0,5.44,clear sky
176,Carson City,US,39.1638,-119.7674,81.63,17,0,11.5,clear sky
177,Castro Verde,PT,37.6983,-8.0858,72.82,50,1,6.64,clear sky
178,Umm Kaddadah,SD,13.6017,26.6876,85.64,19,2,10.98,clear sky
179,Pandan,PH,14.0453,124.1694,79.2,86,15,6.71,few clouds
180,Esperance,AU,-33.8667,121.9,50.43,86,0,8.08,clear sky
181,Licata,IT,37.1071,13.9461,68.23,68,8,9.33,clear sky
182,Stargard Szczecinski,PL,53.3367,15.0499,55.81,90,84,9.31,broken clouds
183,Poole,GB,50.7167,-2.0,58.71,92,82,2.3,fog
184,Kaeo,NZ,-35.1,173.7833,58.32,91,25,12.1,scattered clouds
185,Plettenberg Bay,ZA,-34.0527,23.3716,60.37,94,100,15.37,light rain
186,Bambous Virieux,MU,-20.3428,57.7575,71.85,68,40,14.97,scattered clouds
187,Cadiz,ES,36.5,-5.75,73.13,63,0,8.43,clear sky
188,Polyarnyy,RU,69.1989,33.4478,41.61,83,100,0.38,overcast clouds
189,Jieshi,CN,22.8134,115.8257,72.09,71,13,8.79,few clouds
190,Goksun,TR,38.021,36.4973,57.54,69,100,2.55,overcast clouds
191,Dongdu,CN,35.85,117.7,56.05,66,99,1.97,overcast clouds
192,Fairbanks,US,64.8378,-147.7164,29.23,81,4,2.64,clear sky
193,Fortuna,US,40.5982,-124.1573,59.99,78,7,5.64,clear sky
194,Port Elizabeth,ZA,-33.918,25.5701,61.32,99,100,4.0,light rain
195,Bilibino,RU,68.0546,166.4372,-6.02,99,99,2.33,overcast clouds
196,Tieling,CN,42.2931,123.8414,49.96,82,0,6.76,clear sky
197,Dwarka,IN,22.2394,68.9678,82.15,63,64,13.78,broken clouds
198,Torbay,CA,47.6666,-52.7314,55.38,79,37,1.01,scattered clouds
199,Ulladulla,AU,-35.35,150.4667,56.39,67,0,3.89,clear sky
200,Straseni,MD,47.1414,28.6103,42.42,89,11,4.45,few clouds
201,Port-Gentil,GA,-0.7193,8.7815,76.96,94,100,9.22,thunderstorm with light rain
202,Hasaki,JP,35.7333,140.8333,70.21,72,100,17.72,light rain
203,Rundu,NA,-17.9333,19.7667,74.52,23,36,5.23,scattered clouds
204,Norman Wells,CA,65.282,-126.8329,26.64,68,20,0.0,few clouds
205,Waingapu,ID,-9.6567,120.2641,78.15,75,82,5.35,broken clouds
206,Pacasmayo,PE,-7.4006,-79.5714,65.53,72,6,15.61,clear sky
207,Olafsvik,IS,64.8945,-23.7142,38.39,72,83,30.98,broken clouds
208,Callaway,US,30.153,-85.5699,85.91,31,0,4.0,clear sky
209,Port Hueneme,US,34.1478,-119.1951,86.25,83,100,9.22,overcast clouds
210,Tamiahua,MX,21.2667,-97.45,84.6,68,11,10.76,few clouds
211,Omsukchan,RU,62.5333,155.8,-1.77,100,83,3.83,broken clouds
212,Talcher,IN,20.95,85.2167,74.26,94,15,2.73,few clouds
213,Myaundzha,RU,63.0494,147.1858,3.43,98,100,2.04,overcast clouds
214,Ca Mau,VN,9.1769,105.15,74.23,85,94,3.87,overcast clouds
215,Kampene,CD,-3.6,26.6667,72.27,68,99,2.66,overcast clouds
216,Kismayo,SO,-0.3582,42.5454,77.02,82,100,12.66,overcast clouds
217,Nelson Bay,AU,-32.7167,152.15,59.0,75,0,8.99,clear sky
218,San Jeronimo,PE,-11.9472,-75.2829,62.53,47,82,11.88,broken clouds
219,Cherskiy,RU,68.75,161.3,4.71,96,100,6.64,overcast clouds
220,Ocos,GT,14.5094,-92.1933,82.58,81,51,8.95,light rain
221,Dzhubga,RU,44.3211,38.7039,55.69,61,7,17.52,clear sky
222,Bolong,PH,7.0983,122.2392,79.75,75,95,3.91,overcast clouds
223,Arlit,NE,18.7369,7.3853,87.4,9,4,11.95,clear sky
224,Lagoa,PT,39.05,-27.9833,67.78,76,100,16.78,overcast clouds
225,Brookhaven,US,31.5791,-90.4407,85.24,25,0,0.98,clear sky
226,Menongue,AO,-14.6585,17.691,69.96,34,57,3.0,broken clouds
227,Husavik,IS,66.0449,-17.3389,35.96,95,100,20.89,overcast clouds
228,Dogondoutchi,NE,13.6393,4.0287,85.91,46,16,7.61,few clouds
229,Coracora,PE,-15.0333,-73.7833,58.33,23,80,10.69,broken clouds
230,Bachaquero,VE,9.9694,-71.1494,85.26,72,60,3.8,broken clouds
231,San Policarpo,PH,12.1791,125.5072,77.99,85,58,5.99,broken clouds
232,Astoria,US,46.1879,-123.8313,70.14,73,13,3.0,few clouds
233,Raffadali,IT,37.4036,13.5331,63.39,78,10,6.04,clear sky
234,Xining,CN,36.6167,101.7667,43.5,47,100,1.7,overcast clouds
235,Beaverlodge,CA,55.2166,-119.4361,65.55,43,48,10.78,scattered clouds
236,Thompson,CA,55.7435,-97.8558,33.96,100,100,14.97,mist
237,Vila Franca Do Campo,PT,37.7167,-25.4333,74.19,92,89,7.67,overcast clouds
238,Coahuayana,MX,18.7333,-103.6833,85.5,75,62,5.5,light rain
239,Itoman,JP,26.1247,127.6694,81.37,89,40,14.97,scattered clouds
240,Codrington,AU,-38.2667,141.9667,49.35,90,100,10.4,overcast clouds
241,San Quintin,MX,30.4833,-115.95,69.93,66,11,11.23,few clouds
242,Ahipara,NZ,-35.1667,173.1667,60.01,62,35,8.95,scattered clouds
243,Geraldton,AU,-28.7667,114.6,46.81,87,99,4.61,overcast clouds
244,Hambantota,LK,6.1241,81.1185,78.15,82,100,14.03,overcast clouds
245,Cayenne,GF,4.9333,-52.3333,84.24,74,40,9.22,scattered clouds
